,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1724,Thomas Fire,Y,2020-12-03T18:36:42Z,2020-12-03T13:32:00Z,CAL FIRE Lassen Modoc Unit,,Lassen,"County Road 267 and Mountain Spring Drive, Northeast of Alturas",24.0,100.0,,,-120.374514,41.591948,Wildfire,ad807579-4f4f-4a5a-a17a-7ca299aca978,https://osfm.fire.ca.gov/incidents/2020/12/3/thomas-fire/,2020-12-03T17:40:29Z,2020-12-03,2020-12-03,N,True,False
1728,Manzanita Fire,Y,2021-01-20T15:25:41Z,2021-01-19T12:08:00Z,CAL FIRE Madera Mariposa Merced Unit,,Madera,"Manzanita Lake Drive and Road 222, North of North Fork",23.0,100.0,,,-119.51982,37.25086,Wildfire,68c11904-f38b-4aa0-ab90-b3c805c4e8cd,https://osfm.fire.ca.gov/incidents/2021/1/19/manzanita-fire/,,,2021-01-19,N,True,False
1729,Bonny Doone Complex (Previously Fanning Fire),Y,2021-01-21T18:38:20Z,2021-01-19T06:48:00Z,CAL FIRE San Mateo Santa Cruz Unit,,Santa Cruz,"Fanning Grade and Harmony Hill Road, East of Ben Lomond",20.0,100.0,,,-122.10509,37.08931,Wildfire,929a21bc-65a0-49b4-bc90-bfa5457987e4,https://osfm.fire.ca.gov/incidents/2021/1/19/bonny-doone-complex-previously-fanning-fire/,,,2021-01-19,N,True,False
1730,North Butano Fire,Y,2021-01-21T18:33:54Z,2021-01-18T21:00:00Z,CAL FIRE San Mateo Santa Cruz Unit,,San Mateo,"Off of Old Womans Creek Road , South of Loma Mar",15.0,100.0,,,-122.28823,37.18259,Wildfire,2657090b-ec47-4fbe-bc4e-400cd50a8d55,https://osfm.fire.ca.gov/incidents/2021/1/18/north-butano-fire/,,,2021-01-18,N,True,False
1731,China Grade Fire,Y,2021-02-18T14:11:18Z,2021-01-18T21:00:00Z,CAL FIRE San Mateo Santa Cruz Unit,,Santa Cruz,"China Grade Road and Foxglove Lane, Northwest of Boulder Creek",22.0,100.0,,,-122.1756,37.17749,,9b2b5a16-52cf-4f2e-bc8a-a3af75b28522,https://osfm.fire.ca.gov/incidents/2021/1/18/china-grade-fire/,,,2021-01-18,N,True,False
1733,72 Fire,Y,2021-01-25T13:47:05Z,2021-01-19T14:48:24Z,CAL FIRE/ Riverside County Fire Department,,Riverside,"Ave 72 and Pierce St, south of Oasis",43.0,100.0,,CAL FIRE/ Riverside County Fire Department,-116.10723,33.52871,Wildfire,b38fdc2c-3108-4273-8a67-8d69bdbfb6bb,https://osfm.fire.ca.gov/incidents/2021/1/19/72-fire/,2021-01-20T13:46:53Z,2021-01-20,2021-01-19,N,True,False
1735,Panther Ridge Fire,Y,2021-02-19T11:21:26Z,2021-01-19T15:25:39Z,CAL FIRE San Mateo-Santa Cruz Unit,,Santa Cruz,"Stapp Rd and Hwy 9, north of Boulder Creek",20.0,100.0,,,-122.13372,37.18381,Wildfire,7be84564-edf7-4724-99ba-5c1ee7f86e30,https://osfm.fire.ca.gov/incidents/2021/1/19/panther-ridge-fire/,2021-01-22T18:02:12Z,2021-01-22,2021-01-19,N,True,False
1736,Freedom Fire,Y,2021-03-02T20:32:36Z,2021-01-19T19:13:18Z,CAL FIRE San Mateo  Santa Cruz Unit,,Santa Cruz,"Freedom Boulevard and Hames Road, East of Aptos.",37.0,100.0,,,-121.83627,36.98767,Wildfire,1ebddf4e-0190-4363-a858-ac789206b5fd,https://osfm.fire.ca.gov/incidents/2021/1/19/freedom-fire/,2021-01-22T18:09:27Z,2021-01-22,2021-01-19,N,True,False
1739,Line Fire,Y,2021-03-31T19:09:07Z,2021-03-28T14:43:24Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,"Shortline Rd and Hells Hollow Rd, East of Groveland",23.0,100.0,,,-120.131236,37.813464,Fire,0c3c5916-b391-4916-ad16-059c094da426,https://osfm.fire.ca.gov/incidents/2021/3/28/line-fire/,,,2021-03-28,N,True,False
1740,Woodman Fire,Y,2021-04-01T21:19:22Z,2021-04-01T15:56:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Oak Run Road and Snider Ranch Road, South West of Oak Run in Shasta County.",35.0,100.0,,,-122.0536419,40.6758842,Wildfire,da35c08b-9f0a-42b2-9e1f-b6e9a545d3fb,https://osfm.fire.ca.gov/incidents/2021/4/1/woodman-fire/,2021-04-01T21:19:17Z,2021-04-01,2021-04-01,N,True,False
1741,Westwood Fire,Y,2021-04-05T17:25:05Z,2021-04-04T15:52:00Z,Ventura County Fire Department,,Ventura,Westwood Street and Cottonwood Drive in Simi Valley,25.0,100.0,,,-118.70009500551254,34.30277328465364,Fire,1f31ac02-436e-4555-b7d1-32b636c11c17,https://osfm.fire.ca.gov/incidents/2021/4/4/westwood-fire/,2021-04-05T17:24:38Z,2021-04-05,2021-04-04,N,True,False
1742,Paso Fire,Y,2021-04-13T18:48:26Z,2021-04-12T18:44:23Z,CAL FIRE San Diego Unit,,San Diego,"Lookout Road and Hwy 79, North of Cuyamaca Rancho State Park",28.0,100.0,,,-116.582369,32.958961,Wildfire,02ba1be4-fecc-49a6-927d-8da38d215851,https://osfm.fire.ca.gov/incidents/2021/4/12/paso-fire/,2021-04-13T18:00:00Z,2021-04-13,2021-04-12,N,False,False
1750,Salmon Fire,Y,2021-05-12T22:17:49Z,2021-05-01T21:02:48Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"Salmon Falls Road at the American River, North East of El Dorado Hills in El Dorado County.",32.0,100.0,"Firefighters worked throughout the night and as of this morning have achieved 40% containment. The focus today is to strengthen containment lines and mop up hot spots. With the help of firefighters from CAL FIRE - Santa Clara Unit, it is anticipated that crews will make good progress toward full containment today.",,-121.034998,38.773294,Wildfire,63892d1b-fd0d-4120-be74-242857e211ee,https://osfm.fire.ca.gov/incidents/2021/5/1/salmon-fire/,,,2021-05-01,N,True,False
1752,Creek Fire,Y,2021-05-06T15:47:51Z,2021-05-04T13:28:00Z,CAL FIRE Riverside Unit,,Riverside,Cahuilla Creek Motocross and Highway 371 in Anza,32.0,100.0,,,-116.767011,33.532246,Wildfire,fb63695d-fd59-47dd-9247-e5a7099b5fce,https://osfm.fire.ca.gov/incidents/2021/5/4/creek-fire/,2021-05-04T18:00:00Z,2021-05-04,2021-05-04,N,True,False
1756,Dillard Fire,Y,2021-05-12T22:21:17Z,2021-05-08T17:29:49Z,Sacramento County Metro Fire Department,,Sacramento,Fig Road,44.0,100.0,,,-121.45965,38.28328,Wildfire,0b59568a-ab13-4acf-965a-18e9b18ae223,https://osfm.fire.ca.gov/incidents/2021/5/8/dillard-fire/,2021-05-08T20:05:33Z,2021-05-08,2021-05-08,N,False,False
1757,Quail Fire,Y,2021-05-12T21:53:44Z,2021-05-12T20:48:43Z,CAL FIRE Nevada-Yuba-Placer Unit,,Yuba,"Quail Run Ave and Key Ct, northwest of Smartsville",35.0,100.0,,,-121.361339,39.2510745,Wildfire,ee1dc476-97d4-4da9-a2ba-d3e9f5116309,https://osfm.fire.ca.gov/incidents/2021/5/12/quail-fire/,2021-05-12T14:53:27Z,2021-05-12,2021-05-12,N,True,False
1760,R-1 Fire,Y,2021-05-26T12:48:47Z,2021-05-14T13:03:00Z,BLM Northern Operations District,,Lassen,Cottonwood Mountains northeast Ravendale,29.0,100.0,,CAL FIRE Lassen-Modoc Unit,-120.094517,40.971612,Wildfire,0c1abd92-b131-40f4-bcf7-f6d1871af6a1,https://osfm.fire.ca.gov/incidents/2021/5/14/r-1-fire/,2021-05-15T12:48:28Z,2021-05-15,2021-05-14,N,False,False
1763,Parkside Fire,Y,2021-05-21T10:26:30Z,2021-05-19T15:54:00Z,CAL FIRE Riverside/ Riverside County Fire Department,,Riverside,"Highway 111 And Parkside Drive, Southeast of  Mecca",17.0,100.0,,CAL FIRE Riverside/ Riverside County Fire Department ,-115.917099,33.50994,,e8b4ee36-20b5-4d20-93a4-831ef2e5c659,https://osfm.fire.ca.gov/incidents/2021/5/19/parkside-fire/,2021-05-20T19:53:00Z,2021-05-20,2021-05-19,N,True,False
1764,Settlers Fire,Y,2021-05-21T12:59:28Z,2021-05-19T14:56:00Z,CAL FIRE Amador El Dorado Unit,,El Dorado,"Settlers Trail, East of Latrobe",45.0,100.0,,,-121.01365,38.56101,,aefbc94c-63b5-4767-aa12-a8bc8ed80d87,https://osfm.fire.ca.gov/incidents/2021/5/19/settlers-fire/,2021-05-21T12:59:21Z,2021-05-21,2021-05-19,N,True,False
1766,Bluff Fire,N,2021-06-07T08:27:30Z,2021-05-21T06:55:59Z,USFS Six Rivers National Forest,,Humboldt,"Bluff Creek and Wright Place,  north of Weitchpec",25.0,100.0,,USFS Six Rivers National Forest,-123.66003,41.23106,Wildfire,8e8900a0-814f-425a-8b37-bd5098222959,https://osfm.fire.ca.gov/incidents/2021/5/21/bluff-fire/,2021-06-06T12:26:00Z,2021-06-06,2021-05-21,N,False,False
1767,Tomki Fire,Y,2021-05-24T18:47:48Z,2021-05-21T15:36:15Z,CAL FIRE Mendocino Unit,,Mendocino,"Tomki Road and Appaloosa Way, North of Redwood Valley",18.0,100.0,,,-123.23205,39.384319,,53d124c0-3cc9-436a-8c35-87a9019a3d24,https://osfm.fire.ca.gov/incidents/2021/5/21/tomki-fire/,2021-05-24T18:47:21Z,2021-05-24,2021-05-21,N,True,False
1772,Slope Fire,Y,2021-06-02T17:35:50Z,2021-05-31T16:24:20Z,Fresno-Kings County Fire,,Fresno,Off Trimmer Springs Road and Sunnyslope Road in Fresno County.,25.0,100.0,,,-119.3484121800294,36.86201725309289,Wildfire,81777c5a-cf1d-4161-a261-97c55a8393c0,https://osfm.fire.ca.gov/incidents/2021/5/31/slope-fire/,,,2021-05-31,N,True,False
1773,Smalley Fire,Y,2021-06-04T07:25:08Z,2021-05-31T19:12:45Z,Madera-Mariposa-Merced Unit,,Madera,"Road 222 and Tunoi Place , South of the town of North Fork in Madera County.",45.0,100.0,,,-119.5166045,37.1619216,Wildfire,033ee676-f2f0-4ea8-bbc9-b0bb02de3462,https://osfm.fire.ca.gov/incidents/2021/5/31/smalley-fire/,2021-06-03T07:24:58Z,2021-06-03,2021-05-31,N,True,False
1774,Scott Fire,Y,2021-06-01T20:19:22Z,2021-06-01T13:06:00Z,CAL FIRE Riverside/ Riverside County Fire Department,,Riverside,"Winchester Road and Scott Road, South of Winchester",28.0,100.0,,CAL FIRE Riverside/ Riverside County Fire Department ,-117.089849,33.631955,,c8ae5d37-89ac-4d57-904e-720ef7012edc,https://osfm.fire.ca.gov/incidents/2021/6/1/scott-fire/,2021-06-01T20:14:45Z,2021-06-01,2021-06-01,N,True,False
1775,Coyote Fire,Y,2021-06-04T17:11:51Z,2021-06-02T18:30:00Z,CAL FIRE/Riverside County Fire Department,,Riverside,"Old Banning Idyllwild Road, south of Shirleon Drive",43.0,100.0,,CAL FIRE RRU,-116.90145,33.895007,Fire,760bd55e-7296-44c7-a8ea-917e1751d811,https://osfm.fire.ca.gov/incidents/2021/6/2/coyote-fire/,2021-06-04T17:11:26Z,2021-06-04,2021-06-02,N,True,False
1780,Creek Fire,Y,2021-06-10T07:03:48Z,2021-06-09T20:00:00Z,CAL FIRE Sonoma-Lake-Napa,,Yolo,"Highway 16 and Road 41, North of Rumsey",34.0,100.0,,,-122.238889,38.899722,Wildfire,09996c3f-3186-4c5d-8006-ced791b3ff40,https://osfm.fire.ca.gov/incidents/2021/6/9/creek-fire/,2021-06-10T07:03:23Z,2021-06-10,2021-06-09,N,True,False
1784,Silicon Fire,Y,2021-06-14T18:36:58Z,2021-06-14T11:40:00Z,CAL FIRE Santa Clara Unit,,Santa Clara,"Silicon Valley Road and Basking Ridge, East San Jose",35.0,100.0,,,-121.76309,37.24042,Wildfire,8d9ee304-6918-4f74-b7f1-ec8441020bf9,https://osfm.fire.ca.gov/incidents/2021/6/14/silicon-fire/,2021-06-14T18:36:39Z,2021-06-14,2021-06-14,N,True,False
1785,Kathryn Fire,Y,2021-06-17T12:36:48Z,2021-06-15T13:30:00Z,CAL FIRE / Riverside County Fire Department,,Riverside,"Sage Road and Cactus Valley Road, South of Hemet",15.0,100.0,,CAL FIRE Riverside/ Riverside County Fire Department ,-116.94956,33.67127,Wildfire,08a000bd-2c35-4409-abe9-961da323bbe2,https://osfm.fire.ca.gov/incidents/2021/6/15/kathryn-fire/,2021-06-15T08:00:19Z,2021-06-15,2021-06-15,N,True,False
1788,Equestrian Fire,Y,2021-06-16T17:08:03Z,2021-06-16T14:03:42Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"Equestrian Way and Square Nail Trail, south of Pilot Hill",10.0,100.0,,,-121.01273,38.79988,Wildfire,26ec9c89-912e-4c23-a6c9-04b5dcb31970,https://osfm.fire.ca.gov/incidents/2021/6/16/equestrian-fire/,2021-06-16T17:07:52Z,2021-06-16,2021-06-16,N,True,False
1789,Pomo Fire,Y,2021-09-14T07:19:04Z,2021-06-17T16:45:06Z,North Shore Fire Protection District,,Lake,"Pomo Road Cross and Hwy 20, Upper Lake",42.0,100.0,,,-122.916,39.16338,Wildfire,83e251e4-196f-4db5-b5ba-bed8e300380c,https://osfm.fire.ca.gov/incidents/2021/6/17/pomo-fire/,2021-06-17T10:40:44Z,2021-06-17,2021-06-17,N,False,False
1792,Antelope Fire,Y,2021-06-20T07:18:38Z,2021-06-18T06:33:00Z,CAL FIRE Tulare Unit,,Tulare,"Avenue 380 and Road 208, Northeast of Woodlake",11.0,100.0,,,-119.10788,36.47887,Wildfire,587e51fd-ad97-4894-b53e-300a78e4dc80,https://osfm.fire.ca.gov/incidents/2021/6/18/antelope-fire/,2021-06-20T07:18:21Z,2021-06-20,2021-06-18,N,True,False
1796,Crane Fire,Y,2021-06-21T17:23:35Z,2021-06-18T18:35:00Z,Kern County Fire Department,,Kern,"Lebec Service Road and Crane Canyon Road, Northeast of Lebec",48.0,100.0,,,-118.86258,34.83498,,f5d44748-ed74-4660-ab1a-b94f483ab5df,https://osfm.fire.ca.gov/incidents/2021/6/18/crane-fire/,2021-06-20T18:07:44Z,2021-06-20,2021-06-18,N,True,False
1801,76 Fire,Y,2021-06-22T09:08:43Z,2021-06-20T17:32:36Z,CAL FIRE Riverside County Fire,,Riverside,"89000 Block of Avenue 76, Thermal Riverside County",20.0,100.0,,,-116.1147496,33.499081,Fire,c9ccf962-449a-4fe8-a1ec-42672f023868,https://osfm.fire.ca.gov/incidents/2021/6/20/76-fire/,2021-06-21T09:09:11Z,2021-06-21,2021-06-20,N,True,False
1803,Watt Fire,Y,2021-06-21T19:04:51Z,2021-06-21T16:41:35Z,Placer County Fire Department,,Placer,"Watt Ave at PFE Rd, north of Sacramento",42.0,100.0,,,-121.39247,38.728881,Wildfire,1702e4de-4414-4604-a70d-e0f54df154bd,https://osfm.fire.ca.gov/incidents/2021/6/21/watt-fire/,2021-06-21T19:04:05Z,2021-06-21,2021-06-21,N,False,False
1809,Paseo Fire,Y,2021-06-25T23:13:16Z,2021-06-25T14:23:00Z,CAL FIRE Santa Clara,,Santa Clara,"Paseo Robles Ave and Paseo Vista Ave, East of Morgan Hill",37.0,100.0,,,-121.584194,37.118582,Wildfire,909624c0-d36c-4b9a-8f34-a9e02961b883,https://osfm.fire.ca.gov/incidents/2021/6/25/paseo-fire/,2021-06-25T23:13:01Z,2021-06-25,2021-06-25,N,True,False
1810,Steins Fire,Y,2021-06-27T16:52:41Z,2021-06-26T13:05:41Z,CAL FIRE/ Amador-El Dorado Unit,,El Dorado,Kingvale Rd and Wildcrest Rd,11.0,100.0,,,-120.876096,38.659971,Wildfire,b3136d0f-6ef3-46ea-9342-6d6b0d82d274,https://osfm.fire.ca.gov/incidents/2021/6/26/steins-fire/,2021-06-27T15:35:26Z,2021-06-27,2021-06-26,N,True,False
1816,Peak Fire,Y,2021-07-12T09:14:34Z,2021-06-28T10:52:00Z,San Bernardino National Forest,,San Bernardino,"Old Waterman Canyon Road and Highway 18, North of Waterman Canyon",35.0,100.0,,San Bernardino National Forest ,-117.280416,34.20849,Wildfire,d6b89198-5fd8-498f-8429-3d2994f496f9,https://osfm.fire.ca.gov/incidents/2021/6/28/peak-fire/,2021-07-01T09:14:18Z,2021-07-01,2021-06-28,N,False,False
1818,Lilly Fire,Y,2021-06-29T17:51:10Z,2021-06-28T16:07:00Z,CAL FIRE Madera - Mariposa - Merced Unit,,Madera,"Road 400 and Lilley Mountain Drive,  Southwest of the Community of Coarsegold",35.0,100.0,,,-122.054254,41.665191,,0794cd0a-12e3-4576-8692-45603ad6b246,https://osfm.fire.ca.gov/incidents/2021/6/28/lilly-fire/,2021-06-29T17:51:06Z,2021-06-29,2021-06-28,N,True,False
1840,Cannon Fire,Y,2021-07-16T18:56:00Z,2021-07-14T15:18:48Z,CAL FIRE Tehama-Glen Unit,,Tehama,"Vestal Road and Pope Drive, west of Red Bluff",43.0,100.0,,,-122.64768,40.1703,Wildfire,925dcb5b-1885-407d-b441-10765a31ce97,https://osfm.fire.ca.gov/incidents/2021/7/14/cannon-fire/,2021-07-16T18:55:38Z,2021-07-16,2021-07-14,N,True,False
1841,Dolicini Fire,Y,2021-07-15T07:13:11Z,2021-07-14T15:34:10Z,Marin County Fire Department,,Marin,"Point Reyes-Petaluma Rd and Nicasio Valley Rd, northeast of Nicasio Reservoir",35.0,100.0,,Marin County Fire Department ,-122.7418335,38.0975072,Wildfire,f62a9df9-8661-46de-88de-0b76128e0673,https://osfm.fire.ca.gov/incidents/2021/7/14/dolicini-fire/,2021-07-15T07:13:02Z,2021-07-15,2021-07-14,N,True,False
1843,Border 13 Fire,Y,2021-07-16T10:03:37Z,2021-07-15T16:02:27Z,CAL FIRE/San Diego County Fire,,San Diego,"188 and Tecate Mission Rd, Potrero Canyon",30.0,100.0,,,-116.634023,32.578481,Wildfire,354a2576-907f-43a2-b152-46355e2bf94a,https://osfm.fire.ca.gov/incidents/2021/7/15/border-13-fire/,,,2021-07-15,N,True,False
1845,Fork Fire,Y,2021-07-20T15:37:00Z,2021-07-17T17:40:13Z,CAL FIRE Tehama-Glen Unit,,Tehama,Lowery Rd and South Fork Dr,43.0,100.0,,,-122.55195,39.999396,Wildfire,396abb9e-a291-4183-b0f6-798a5438868c,https://osfm.fire.ca.gov/incidents/2021/7/17/fork-fire/,2021-07-20T15:36:44Z,2021-07-20,2021-07-17,N,True,False
1849,Frenchtown Fire,Y,2021-07-22T07:22:14Z,2021-07-20T16:36:32Z,CAL FIRE Nevada-Yuba-Placer Unit,,Yuba,"Frenchtown Dobbins Road and Seward Lane, west of Dobbins in Yuba County.",45.0,100.0,,"CAL FIRE Nevada-Yuba-Placer Unit, ",-121.24684,39.383922,Wildfire,8f768137-0c58-45e5-a8dd-1df9ecc7870f,https://osfm.fire.ca.gov/incidents/2021/7/20/frenchtown-fire/,2021-07-22T07:22:01Z,2021-07-22,2021-07-20,N,True,False
1850,Mountain Fire,Y,2021-07-24T16:56:31Z,2021-07-23T00:00:00Z,,,Trinity,"Island Mountain Rd x Raff Creek Rd, southeast of Alderpoint",25.0,100.0,,,-123.505,39.976,Fire,c8991faa-8d15-4d4c-b3a1-92f58f784420,https://osfm.fire.ca.gov/incidents/2021/7/23/mountain-fire/,,,2021-07-23,N,True,False
1866,Nelson Fire,Y,2021-08-13T08:44:56Z,2021-08-07T00:00:00Z,CAL FIRE/ Shasta-Trinity Unit,,Shasta,Nelson Creek Rd and Summit Lake Rd,20.0,100.0,,"Shasta County Fire Department, United States Forest Service, Burney Fire  Protection District, Shasta County Sheriff’s Office",-121.89008,41.034362,Wildfire,0249ff45-1a71-4a4f-88a7-6c1fc7a9aa20,https://osfm.fire.ca.gov/incidents/2021/8/7/nelson-fire/,2021-08-13T08:44:38Z,2021-08-13,2021-08-07,N,True,False
1868,Middle Fire,Y,2021-08-13T20:53:36Z,2021-08-13T00:00:00Z,CAL FIRE Sonoma Lake Napa Unit,,Sonoma,"Middle Two Rock Road and Succetti Road, west of Petaluma in Sonoma County.",22.0,100.0,,CAL FIRE Sonoma Lake Napa Unit,-122.727542,38.250596,Wildfire,262f815e-e1b4-42d8-8889-6bb4638703e4,https://osfm.fire.ca.gov/incidents/2021/8/13/middle-fire/,,,2021-08-13,N,True,False
1877,Mule Fire,Y,2021-08-25T20:05:04Z,2021-08-25T00:00:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Placer Rd & Muletown Rd, southwest of Redding",10.0,100.0,,,-122.514391,40.616416,Wildfire,f19d2b70-1d83-4abc-a173-7b00584e1c49,https://osfm.fire.ca.gov/incidents/2021/8/25/mule-fire/,2021-08-25T20:04:50Z,2021-08-25,2021-08-25,N,True,False
1887,K-Rail,Y,2021-09-08T16:25:10Z,2021-08-30T13:30:00Z,Six Rivers National Forest & Hoopa BIA,,Humboldt,"Tish Tang Ridge, southeast of Hoopa",16.0,100.0,,,-123.52733,41.03877,Wildfire,af05ba27-9105-4776-83a8-8ea786117476,https://osfm.fire.ca.gov/incidents/2021/8/30/k-rail/,2021-09-08T16:25:07Z,2021-09-08,2021-08-30,N,False,False
1888,Lassen Fire,Y,2021-09-03T18:50:47Z,2021-09-01T14:27:00Z,Lead Agency: Marin County Fire,,Marin,Mt. Lassen Drive and Idylberry Road near Lucas Valley in Marin County.,44.0,100.0,,Marin County Fire,-122.6131992,38.0591827,Wildfire,254e4d5c-a750-41e0-bea3-9eb4597b0a13,https://osfm.fire.ca.gov/incidents/2021/9/1/lassen-fire/,,,2021-09-01,N,True,False
1889,Lawrence Fire,Y,2021-09-07T08:39:10Z,2021-09-05T10:40:20Z,CAL FIRE Amador-El Dorado Unit,,Amador,"Lawrence Road between Tyler Road and Cedar Creek Road, North of Fiddletown ",46.0,100.0,,"Cooperating Agencies: California Conservation Corps, Amador Fire Protection District, City of Ione Fire Department, Pioneer Fire Protection District, Diamond Springs-El Dorado Fire Protection District., Cameron Park Fire Department, El Dorado Hills Fire Department, El Dorado County Sheriff’s Office, Amador County Sheriff’s Office, Pacific Gas & Electric and California Highway Patrol ",-120.731748,38.529123,Wildfire,5ddee2f6-f32b-4664-a416-5cf4996290a5,https://osfm.fire.ca.gov/incidents/2021/9/5/lawrence-fire/,2021-09-07T08:39:06Z,2021-09-07,2021-09-05,N,True,False
1898,Childrens Fire,Y,2021-09-19T18:53:27Z,2021-09-19T11:40:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Childrens Blvd and Rio Mesa Blvd ,42.0,100.0,,,-119.792528,36.89365,Wildfire,f4be7c50-4b42-4534-90c7-82c52e4fa3cb,https://osfm.fire.ca.gov/incidents/2021/9/19/childrens-fire/,2021-09-19T18:53:21Z,2021-09-19,2021-09-19,N,True,False
1903,View Fire ,Y,2021-10-12T18:16:20Z,2021-10-11T14:35:42Z,CAL FIRE Tehama-Glen Unit,,Tehama,"View Dr and Digger Pine Rd, Southwest of Cottonwood",24.0,100.0,,,-122.436754,40.287225,Wildfire,66eaca2a-9aa7-41cf-a850-88f963cbf723,https://osfm.fire.ca.gov/incidents/2021/10/11/view-fire/,2021-10-12T16:48:30Z,2021-10-12,2021-10-11,N,True,False
