,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1514,Cronan Fire ,Y,2020-06-10T18:11:53Z,2020-06-09T14:35:25Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"at Cronan Ranch off of Pedro Hill, near the community of Pilot Hill",29.0,100.0,,,-120.988571,38.827755,Wildfire,d77e9eeb-a4ed-41b8-adff-9dd99aac5971,https://osfm.fire.ca.gov/incidents/2020/6/9/cronan-fire/,,,2020-06-09,N,True,False
1522,Watt Fire,Y,2020-06-11T20:51:28Z,2020-06-11T18:25:12Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,PFE Rd and Watt Ave,40.0,100.0,Acreage change due to better mapping.,,-121.378879,38.733421,Wildfire,e86309b6-2223-4448-a7a2-bb83d4bc8352,https://osfm.fire.ca.gov/incidents/2020/6/11/watt-fire/,2020-06-11T20:46:00Z,2020-06-11,2020-06-11,N,True,False
1526,Dawson Fire ,Y,2020-06-17T08:27:01Z,2020-06-13T18:32:06Z,CAL FIRE Riverside County Fire,,Riverside,Dawson Canyon Road and Park Canyon Road ,10.0,100.0,,,-117.461925,33.776033,Wildfire,90d7bf99-5b46-4a48-a07c-7468829e50b3,https://osfm.fire.ca.gov/incidents/2020/6/13/dawson-fire/,2020-06-13T08:26:00Z,2020-06-13,2020-06-13,N,True,False
1527,Hopland Fire,Y,2020-06-14T07:40:56Z,2020-06-13T18:52:54Z, CAL FIRE Mendocino Unit,,Mendocino,"Highway 101, southwest of Hopland",34.0,100.0,,,-80.49163,39.14783,Wildfire,2aa93d4d-809e-42ed-8025-7449711f667d,https://osfm.fire.ca.gov/incidents/2020/6/13/hopland-fire/,2020-06-14T07:36:00Z,2020-06-14,2020-06-13,N,True,False
1531,Riata Fire ,Y,2020-06-17T14:59:47Z,2020-06-16T14:44:53Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"5900 Block West Pozo Road near Hwy 58, East of Santa Margarita",18.0,100.0,,,-120.56823,35.40953,Wildfire,2250dea8-20a0-4e5e-b86e-bfe7821892c2,https://osfm.fire.ca.gov/incidents/2020/6/16/riata-fire/,2020-06-17T14:59:00Z,2020-06-17,2020-06-16,N,True,False
1540,Teddy Fire,Y,2020-06-25T08:53:58Z,2020-06-18T22:33:51Z,CAL FIRE Butte Unit/Butte County Fire Department,,Butte,"Teddy Lane and Bangor Park Rd., Bangor",13.0,100.0,,,-121.45372,39.37577,Wildfire,036cc8f1-ab4e-488c-8c46-86ebbb176d3e,https://osfm.fire.ca.gov/incidents/2020/6/18/teddy-fire/,2020-06-18T08:53:00Z,2020-06-18,2020-06-18,N,True,False
1543,East Fire,Y,2020-06-21T09:57:32Z,2020-06-20T17:23:41Z,CALFIRE Lassen-Modoc Unit,,Modoc,County Road 79 and East 19th Street,11.0,100.0,Forward spread stopped,,-120.54161,41.5017,Wildfire,d7f02c71-a8b5-440a-b4a8-b8e011e214e3,https://osfm.fire.ca.gov/incidents/2020/6/20/east-fire/,,,2020-06-20,N,True,False
1544,Quarter Fire,Y,2020-07-07T14:35:05Z,2020-06-21T11:33:36Z,USFS Stanislaus National Forest,,Tuolumne,"Italian Bar Road and Grant Ridge Road, North of Twain Harte",10.0,100.0,,Stanislaus National Forest ,-120.20316,38.08264,Wildfire,641c7a44-b74a-4dce-bd7d-44078847003b,https://osfm.fire.ca.gov/incidents/2020/6/21/quarter-fire/,2020-07-07T14:34:00Z,2020-07-07,2020-06-21,N,False,False
1549,River Fire,Y,2020-06-25T09:05:06Z,2020-06-22T13:55:00Z,,,San Luis Obispo,"River Road and Creston Road, West of Paso Robles",15.0,100.0,,Paso Robles Fire Department ,-120.68326,35.62906,Wildfire,58e5665a-7aff-4f14-8ebe-490e73d3d37a,https://osfm.fire.ca.gov/incidents/2020/6/22/river-fire/,2020-06-23T09:04:00Z,2020-06-23,2020-06-22,N,False,False
1550,Sycamore Fire,Y,2020-06-26T18:04:12Z,2020-06-23T08:23:48Z,CAL FIRE Fresno County Fire,,Fresno,Sycamore Road and Coyote Drive Southeast of Tollhouse,19.0,100.0,,,-119.33439,36.97511,Wildfire,c5071feb-80ec-4fbb-9d2f-eee1f1cea68a,https://osfm.fire.ca.gov/incidents/2020/6/23/sycamore-fire/,2020-06-26T18:04:00Z,2020-06-26,2020-06-23,N,True,False
1553,58 Fire,Y,2020-06-29T07:00:24Z,2020-06-24T17:49:08Z,CAL FIRE Riverside County Fire ,,Riverside,"Van Buren Street and Avenue 58, Thermal",12.0,100.0,,CAL FIRE Riverside County Fire ,-115.96594,33.27665,Wildfire,5b8b9b63-9cc6-4d55-9502-87009d75732c,https://osfm.fire.ca.gov/incidents/2020/6/24/58-fire/,2020-06-27T06:58:00Z,2020-06-27,2020-06-24,N,True,False
1560,Gage Fire,Y,2020-07-03T11:06:37Z,2020-06-28T15:58:46Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Running Deer Rd and Gage Irving Road,33.0,100.0,,,-120.96759,35.69993,Wildfire,a6c54f7f-20f5-4c3b-a27b-745d7274def6,https://osfm.fire.ca.gov/incidents/2020/6/28/gage-fire/,2020-06-28T11:06:00Z,2020-06-28,2020-06-28,N,True,False
